slug,title,author,filename,category,doctype
50-years-of-equal-exploitation,50 Years of Equal Exploitation,Unknown,01_Political_Theory_Article_50-years-of-equal-exploitation.md,01,
91723-police-collective-bargaining-and-police-violence-final,9.17.23 Police-Collective-Bargaining-and-Police-Violence FINAL,Unknown,01_Political_Theory_Article_91723_police-collective-bargaining-and-police-violence_final.md,01,
short-call-short-call-june-national, Short Call  - short-call-June-National,Unknown,01_Political_Theory_Article__short-call_-short-call-june-national.md,01,
a-79-year-old-woman-who-bowls-an-interview-with-diva-agostinelli-anarchist,"A 79 year old woman who bowls an interview with Diva Agostinelli, anarchist",Unknown,01_Political_Theory_Article_a-79-year-old-woman-who-bowls-an-interview-with-diva-agostinelli-anarchist.md,01,
a-boyle-heights-rent-strike-forged-a-path-for-other-tenants-to-fight-back,A Boyle Heights Rent Strike Forged a Path for Other Tenants to Fight Back,Unknown,01_Political_Theory_Article_a-boyle-heights-rent-strike-forged-a-path-for-other-tenants-to-fight-back.md,01,
a-brief-critique-of-anarcho-syndicalism,A Brief Critique of Anarcho-Syndicalism,Unknown,01_Political_Theory_Article_a-brief-critique-of-anarcho-syndicalism.md,01,
a-brilliant-but-forgotten-idea-the-class-union,A Brilliant But Forgotten Idea The Class Union,Unknown,01_Political_Theory_Article_a-brilliant-but-forgotten-idea-the-class-union.md,01,
a-class-perspective-on-the-women-question,A Class Perspective on the 'Women Question',Unknown,01_Political_Theory_Article_a-class-perspective-on-the-women-question.md,01,
a-class-war-against-state-war-iww-istanbuls-statement-on-the-turkish-invasion-of-syria,A Class War Against State War – IWW Istanbul’s Statement on the Turkish Invasion of Syria,Unknown,01_Political_Theory_Article_a-class-war-against-state-war-iww-istanbuls-statement-on-the-turkish-invasion-of.md,01,
a-cyborg-manifesto,A Cyborg Manifesto,Unknown,01_Political_Theory_Article_a-cyborg-manifesto.md,01,
a-e-i-o-u-agitate-educate-inoculate-organize-union-push-from-wages-so-low-youll-freak-by-mike,"A-E-I-O-U Agitate, Educate, Inoculate, Organize, Union  pUsh (from Wages So Low You’ll Freak by Mike",Unknown,01_Political_Theory_Article_a-e-i-o-u-agitate-educate-inoculate-organize-union-push-from-wages-so-low-youll.md,01,
a-general-strike-starting-from-refinery-workers-at-the-caribbean-island-of-curacao-awaiting-new-ma,A general strike starting from refinery workers at the caribbean island of Curacao - awaiting new ma,Unknown,01_Political_Theory_Article_a-general-strike-starting-from-refinery-workers-at-the-caribbean-island-of-curac.md,01,
a-gigantic-network-of-narrow-streams-ditching-the-formal-iww-and-building-the-real-tyler-zee,A gigantic network of narrow streams ditching the formal IWW and building the real - Tyler Zee,Unknown,01_Political_Theory_Article_a-gigantic-network-of-narrow-streams-ditching-the-formal-iww-and-building-the-re.md,01,
a-goal-and-strategy-for-anarchy,A Goal and Strategy for Anarchy,Unknown,01_Political_Theory_Article_a-goal-and-strategy-for-anarchy.md,01,
a-great-plains-association-for-anarchy,A Great Plains Association for Anarchy ,Unknown,01_Political_Theory_Article_a-great-plains-association-for-anarchy_.md,01,
a-half-built-garden-ruthanna-emrys,A Half-Built Garden - Ruthanna Emrys,Unknown,01_Political_Theory_Article_a-half-built-garden-ruthanna-emrys.md,01,
a-healthy-planet-for-our-children-to-inherit-or-destroying-the-earth-for-jobs-join-thousands-of-wor,"A healthy planet for our children to inherit, or destroying the earth for jobs Join Thousands of Wor",Unknown,01_Political_Theory_Article_a-healthy-planet-for-our-children-to-inherit-or-destroying-the-earth-for-jobs-jo.md,01,
a-letter-on-metacognition-ft-a-social-experiment,A letter on Metacognition [ft. a social experiment],Unknown,01_Political_Theory_Article_a-letter-on-metacognition-ft-a-social-experiment.md,01,
a-letter-to-the-libertarian-left,A letter to the libertarian left,Unknown,01_Political_Theory_Article_a-letter-to-the-libertarian-left.md,01,
a-message-to-the-membership-of-ilwu-local-10,A Message to the Membership of ILWU Local 10,Unknown,01_Political_Theory_Article_a-message-to-the-membership-of-ilwu-local-10.md,01,
a-modern-anarchism-part-1-anarchist-analysis,A Modern Anarchism (Part 1) Anarchist Analysis,Unknown,01_Political_Theory_Article_a-modern-anarchism-part-1-anarchist-analysis.md,01,
a-modern-anarchism-part-2-anarchy,A Modern Anarchism (Part 2) Anarchy,Unknown,01_Political_Theory_Article_a-modern-anarchism-part-2-anarchy.md,01,
a-new-coalition-demands-healthcare-and-justice-for-east-palestine,A new coalition demands healthcare and justice for East Palestine,Unknown,01_Political_Theory_Article_a-new-coalition-demands-healthcare-and-justice-for-east-palestine.md,01,
a-new-concept-of-unionism-the-new-south-wales-builders-labourers-federation-1970-1974,A new concept of unionism the New South Wales Builders Labourers' Federation 1970-1974,Unknown,01_Political_Theory_Article_a-new-concept-of-unionism-the-new-south-wales-builders-labourers-federation-1970.md,01,
a-new-economic-system-for-a-world-in-rapid-disintegration,A New Economic System for a World in Rapid Disintegration,Unknown,01_Political_Theory_Article_a-new-economic-system-for-a-world-in-rapid-disintegration.md,01,
a-new-lucas-plan-for-the-future,A new Lucas Plan for the future,Unknown,01_Political_Theory_Article_a-new-lucas-plan-for-the-future.md,01,
a-note-on-the-anarchist-agrupacin,A note on the anarchist agrupación,Unknown,01_Political_Theory_Article_a-note-on-the-anarchist-agrupación.md,01,
a-reply-to-death-of-a-paper-tiger-by-animal,A Reply to Death of a Paper Tiger by Animal,Unknown,01_Political_Theory_Article_a-reply-to-death-of-a-paper-tiger-by-animal.md,01,
a-revolutionary-proposal-invisible-insurrection-of-a-million-minds-alexander-trocchi,A Revolutionary Proposal Invisible Insurrection of a Million Minds - Alexander Trocchi,Unknown,01_Political_Theory_Article_a-revolutionary-proposal-invisible-insurrection-of-a-million-minds-alexander-tro.md,01,
a-rose-by-any-other-name,A Rose By Any Other Name,Unknown,01_Political_Theory_Article_a-rose-by-any-other-name.md,01,
a-short-history-of-anarchism,A Short History of Anarchism,Unknown,01_Political_Theory_Article_a-short-history-of-anarchism.md,01,
a-short-introduction-to-anarchist-communism,A Short Introduction to Anarchist Communism,Unknown,01_Political_Theory_Article_a-short-introduction-to-anarchist-communism.md,01,
a-sierra-club-love-story-remembering-bay-chapter-hiking-leader-louis-prisco,A Sierra Club love story Remembering Bay Chapter hiking leader Louis Prisco,Unknown,01_Political_Theory_Article_a-sierra-club-love-story-remembering-bay-chapter-hiking-leader-louis-prisco.md,01,
a-statement-by-leftist-feminists-from-kurdistan-on-the-2022-feminist-insurrection-in-iran,A statement by leftist feminists from Kurdistan on the 2022 feminist insurrection in Iran,Unknown,01_Political_Theory_Article_a-statement-by-leftist-feminists-from-kurdistan-on-the-2022-feminist-insurrectio.md,01,
a-syndicalist-strategy-for-the-swedish-labour-market,A syndicalist strategy for the Swedish labour market,Unknown,01_Political_Theory_Article_a-syndicalist-strategy-for-the-swedish-labour-market.md,01,
a-tilted-guide-to-being-a-defendant-a-guide-to-the-criminal-legal-system-for-radicals,A Tilted Guide to Being a Defendant A Guide to the Criminal Legal System for Radicals,Unknown,01_Political_Theory_Article_a-tilted-guide-to-being-a-defendant-a-guide-to-the-criminal-legal-system-for-rad.md,01,
a-victim-of-power-corp-and-police-the-la-presse-conflict-and-the-tear-gas-suffocation-of-michele-g,A Victim of Power (Corp) and Police The La Presse Conflict and the Tear Gas Suffocation of Michele G,Unknown,01_Political_Theory_Article_a-victim-of-power-corp-and-police-the-la-presse-conflict-and-the-tear-gas-suffoc.md,01,
a-view-on-class-war-by-a-former-member-julian-1986,A view on Class War by a former member - Julian (1986),Unknown,01_Political_Theory_Article_a-view-on-class-war-by-a-former-member-julian-1986.md,01,
a-wobbly-contract-luigi-rinaldi,A Wobbly contract - Luigi Rinaldi,Unknown,01_Political_Theory_Article_a-wobbly-contract-luigi-rinaldi.md,01,
a-world-without-police-audio-book,A World Without Police - Audio Book,Unknown,01_Political_Theory_Article_a-world-without-police-audio-book.md,01,
a-world-without-police-geo-maher,A World Without Police - Geo Maher,Unknown,01_Political_Theory_Article_a-world-without-police-geo-maher.md,01,
